"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PKDREJ",46.4420596481883,1.6368295905643,0.71691581964054,2.28315451510751,0.0224212683129891,0.0853164173349136
"PKHD1",42.1906937430876,1.77064582039709,1.75403609318558,1.00946943297007,NA,NA
"PKHD1L1",50.4331710054864,-0.815123726276499,1.46445115339715,-0.556606974828504,0.577795987280278,0.736700636349808
"PKIA",512.210041765023,0.338269828065134,0.943992020764599,0.358339711167418,0.720089103326639,0.835940398244854
"PKIA-AS1",3.82321747063419,1.16105283350173,1.22860409816454,0.94501787454256,0.344649750594127,0.539604269505552
"PKIB",379.335843030712,1.81702403435002,0.873428352710897,2.08033552919417,0.0374947681471324,0.123533918303927
"PKIG",1111.10369305252,-3.16640131056222,0.592870200947519,-5.34080023840246,9.25371814102004e-08,3.03712042689302e-06
"PKM",114278.488064171,1.41835088960075,0.379254370304048,3.73984059422613,0.000184136990952757,0.00198609775961247
"PKMP1",8.91012877277698,1.19921064506689,0.68692784690878,1.74575925326571,0.0808527940773589,0.209827612581483
"PKMP2",0.965733349439752,1.48876822647067,1.31889679542858,1.12879812251488,0.258983004856995,NA
"PKMP3",15.1859840620697,-3.35623637289451,0.595630555294943,-5.6347619225689,1.7530034222054e-08,7.03111538128423e-07
"PKMP5",2.17587954514903,0.484745120982256,0.844544782886694,0.5739720744297,0.565986698618698,0.72745182695291
"PKMYT1",2786.01239253321,5.70312240869109,0.443468663003897,12.8602602268674,7.53226663013611e-38,3.36970432827274e-35
"PKN1",5444.74529980281,-0.955423225077496,0.66081142636966,-1.44583339051258,0.148223938237721,0.31374318678226
"PKN2",3738.85630664455,0.452599156630034,0.306485690601665,1.4767382964651,0.139745802285241,0.301548544423606
"PKN2-AS1",8.76746269640228,0.128030851505345,0.738539855432871,0.173356726199026,0.86237103753389,0.923030307731448
"PKN3",1662.48061860825,0.317519626161538,0.534994663789385,0.593500548047593,0.552846216315133,0.717854829162427
"PKNOX1",1434.44693761065,-0.438772271534035,0.210207637224751,-2.08732792645829,0.036858502058492,0.1220877527462
"PKNOX2",50.1485676883228,-3.68022768283883,1.22390884034719,-3.00694591093471,0.00263886712219074,0.0170637351670412
"PKNOX2-AS1",0.128574096562571,-3.28593017255674,5.04800102466033,-0.650936906808145,0.515087215934751,NA
